nome_arquivo,variancia,media,desvio_padrao,mediana
C.03_T.2_P.0018.jpg,7878.774087213155,183.30044074074075,88.76245877178683,244.0
C.01_T.1_P.0001.jpg,8130.938238561851,165.8927,90.17171529122561,201.0
C.01_T.8_P.0008.jpg,8119.953889753582,177.60984444444443,90.11078675582398,235.0
C.02_T.3_P.0011.jpg,8244.183338654322,162.52922222222222,90.79748531019085,203.0
C.03_T.3_P.0019.jpg,8182.586343278999,157.80266296296296,90.45764944590921,187.0
C.02_T.2_P.0010.jpg,7701.490248368668,142.6485851851852,87.75813494126153,165.0
C.01_T.7_P.0007.jpg,8075.039252323951,170.10804444444443,89.86122218356454,208.0
C.02_T.7_P.0015.jpg,7966.030451911056,147.5339925925926,89.25262154083238,173.0
C.04_T.1_P.0025.jpg,7509.152704249533,130.67424814814814,86.65536742896849,148.0
C.01_T.2_P.0002.jpg,8399.596594887778,176.86836666666667,91.64931311738118,236.0
C.03_T.7_P.0023.jpg,8220.593615431755,167.20835185185186,90.66748929705595,211.0
C.02_T.1_P.0009.jpg,7788.671116866941,180.17414814814813,88.25344818683823,237.0
C.01_T.3_P.0003.jpg,8175.6925206304395,165.48822592592592,90.41953616686186,202.0
C.04_T.3_P.0027.jpg,7194.9984211988885,134.7137,84.82333653658578,157.0
C.04_T.7_P.0031.jpg,5165.7100563265285,108.66217037037038,71.87287427344567,115.0
C.02_T.8_P.0016.jpg,7277.920761315499,66.8444074074074,85.31073063405036,38.0
C.03_T.8_P.0024.jpg,8405.033690526405,161.03046296296296,91.67897081952003,203.0
C.04_T.2_P.0026.jpg,8181.160783589451,159.54564074074074,90.4497693948937,197.0
C.03_T.1_P.0017.jpg,7646.308624994227,160.8105148148148,87.44317369008417,189.0
C.04_T.8_P.0032.jpg,3848.253718469136,217.6108888888889,62.034294696314035,253.0
